Word,Similarity
بمونی,0.9303236603736877
مزه,0.9297803044319153
ضمیر,0.9294050931930542
نوشتی,0.9293542504310608
مادرش,0.9293349385261536
متنفرم,0.9290310144424438
بخوابی,0.9280534386634827
احساسی,0.9278139472007751
هول,0.9277670979499817
سالمه,0.9277592301368713
عشق،,0.9277523756027222
کارگاه,0.9277377128601074
انگیز,0.9276900887489319
‌‌,0.9276244640350342
ضرر,0.9276189804077148
دکمه,0.9274778366088867
لایک,0.9273350238800049
غصه,0.9272535443305969
جدی,0.9271590709686279
پست,0.9270109534263611
